date,total_pnl,median_pnl,pnl_std,win_rate,trade_count,avg_size_usd,total_volume,long_count,short_count,unique_traders,avg_fee,long_short_ratio,avg_pnl_per_trade,rolling_pnl_7d,value,classification,sentiment_binary,month
2024-04-07,0.0,0.0,0.0,0.0,23,2173.397391304348,49988.14,0,23,1,0.7606889130434782,0.0,0.0,2065.904579714286,78,Extreme Greed,Greed,Apr
2024-04-08,1218.4267,0.0,222.45326275219327,0.03333333333333333,30,7064.688,211940.64,1,29,2,2.0596849333333336,0.03448275861950059,40.614223333333335,1881.6850502857144,76,Extreme Greed,Greed,Apr
2024-04-09,0.0,0.0,0.0,0.0,3,19021.280000000002,57063.840000000004,0,3,1,6.657447,0.0,0.0,1755.4335057142857,80,Extreme Greed,Greed,Apr
2024-04-10,5207.443414,32.322,197.76893722954745,0.8780487804878049,41,8578.926097560974,351735.97,40,1,1,3.002623463414634,39.99999996,127.01081497560976,2481.241364857143,78,Extreme Greed,Greed,Apr
2024-04-11,389.743164,0.0,69.72639235953248,0.125,16,4775.06,76400.96,14,2,1,1.6712705625,6.9999999965,24.35894775,2536.918959714286,76,Extreme Greed,Greed,Apr
2024-04-12,-592.6458390000001,4.032548,122.96278242038903,0.5503875968992248,129,3427.0433333333335,442088.59,43,86,3,0.7562858527131783,0.49999999999418604,-4.594153790697676,922.7575104285714,79,Extreme Greed,Greed,Apr
2024-04-13,6621.451755,15.90732,185.05277424135176,0.6853932584269663,89,5465.294943820225,486411.25,46,43,2,1.337069393258427,1.069767441835587,74.3983343258427,1834.9170277142857,72,Greed,Greed,Apr
2024-04-14,-36104.012520000004,0.0,2139.677020173523,0.308411214953271,107,6160.394112149533,659162.17,46,61,2,1.995115925233645,0.7540983606433754,-337.4206777570094,-3322.799046571429,72,Greed,Greed,Apr
2024-04-15,3774.08872,14.65548,165.5095385447801,0.8536585365853658,41,7100.272926829269,291111.19,18,23,2,0.9914781463414633,0.7826086956181475,92.05094439024391,-2957.7044722857145,74,Greed,Greed,Apr
2024-04-16,2467.702221,17.7287,103.5102238356102,0.9148936170212766,47,3870.3653191489366,181907.17,31,16,2,0.3927167021276596,1.9374999998789062,52.504302574468085,-2605.175583571429,65,Greed,Greed,Apr
2024-04-17,2441.4683999999997,48.21955,232.6697853775852,0.9285714285714286,14,6968.785000000001,97562.99,13,1,1,0.7586402142857143,12.999999986999999,174.39059999999998,-3000.3148712857146,67,Greed,Greed,Apr
2024-04-19,1946.4454620000001,19.918472,114.02941773198246,0.7714285714285715,35,9635.940571428573,337257.92000000004,5,30,1,3.372578857142857,0.1666666666611111,55.61272748571429,-2777.928828714286,66,Greed,Greed,Apr
2024-04-20,0.0,0.0,0.0,0.0,22,2760.601818181818,60733.24,20,2,2,5.5131385,9.999999995,0.0,-2693.2651374285715,66,Greed,Greed,Apr
2024-04-22,0.0,0.0,0.0,0.0,9,5332.623333333333,47993.61,0,9,1,1.8664182222222223,0.0,0.0,-3639.186816714286,73,Greed,Greed,Apr
2024-04-23,1119.536196,0.07805000000000001,69.72604971216398,0.5151515151515151,66,3531.1348484848486,233054.9,36,30,2,1.0804314545454545,1.19999999996,16.962669636363636,1678.462999857143,71,Greed,Greed,Apr
2024-04-24,279.185907,0.0,47.020172247729526,0.3,20,7063.762,141275.24,13,7,1,2.4723157999999996,1.857142856877551,13.95929535,1179.1911694285716,72,Greed,Greed,Apr
2024-04-25,0.0,0.0,0.0,0.0,74,1624.8785135135136,120241.01,74,0,2,2.16431772972973,74000000000.0,0.0,826.6622807142857,72,Greed,Greed,Apr
2024-04-26,0.0,0.0,0.0,0.0,3,1662.7633333333335,4988.290000000001,0,3,1,0.581966,0.0,0.0,477.88108071428576,70,Greed,Greed,Apr
2024-04-27,4281.488139,61.458,205.65189595972714,0.7037037037037037,27,5713.498888888889,154264.47,0,27,1,1.999724074074074,0.0,158.57363477777778,811.458606,67,Greed,Greed,Apr
2024-04-28,0.0,0.0,0.0,0.0,58,758.3724137931034,43985.6,0,58,2,0.26543010344827583,0.0,0.0,811.458606,65,Greed,Greed,Apr
2024-04-29,526.9338359999999,0.0,34.303515225260476,0.37777777777777777,45,2415.5335555555553,108699.01,24,21,2,0.8454362222222221,1.142857142802721,11.709640799999999,886.7348682857144,67,Greed,Greed,Apr
2024-04-30,0.0,0.0,0.0,0.0,24,5209.114583333333,125018.75,24,0,1,1.8231895833333331,24000000000.0,0.0,726.8011260000001,67,Greed,Greed,Apr
2024-05-01,0.0,0.0,0.0,0.0,14,6216.103571428571,87025.45,14,0,1,2.175636285714286,14000000000.0,0.0,686.917425,54,Neutral,Neutral,May
